Source,Title,Link
Expats,"Apartment for rent, 3+kk - 2 bedrooms, 115m2",https://www.expats.cz/praguerealestate/for-rent/apartments/295889-3-plus-kk-2-bedrooms-in-prague
Expats,"Apartment for rent, 2+kk - 1 bedroom, 50m2",https://www.expats.cz/praguerealestate/for-rent/apartments/295888-2-plus-kk-1-bedroom-in-prague
Expats,"Apartment for rent, 3+kk - 2 bedrooms, 84m2",https://www.expats.cz/praguerealestate/for-rent/apartments/295884-3-plus-kk-2-bedrooms-in-prague
Expats,< previous,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/82
Expats,1,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/1
Expats,2,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/2
Expats,3,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/3
Expats,4,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/4
Expats,5,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/5
Expats,6,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/6
Expats,7,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/7
Expats,8,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/8
Expats,9,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/9
Expats,82,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/82
Expats,next >,https://www.expats.cz/praguerealestate/apartments/for-rent/prague-region/2
Expats,Flatshare for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=room-flatshare
Expats,1+KK - Studio for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=1-plus-kk-studio
Expats,1+1 - Studio for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=1-plus-1-studio
Expats,2+kk - 1 bedroom for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=2-plus-kk-1-bedroom
Expats,2+1 - 1 bedroom for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=2-plus-1-1-bedroom
Expats,3+kk - 2 bedrooms for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=3-plus-kk-2-bedrooms
Expats,3+1 - 2 bedrooms for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=3-plus-1-2-bedrooms
Expats,4+kk - 3 bedrooms for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=4-plus-kk-3-bedrooms
Expats,4+1 - 3 bedrooms for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=4-plus-1-3-bedrooms
Expats,5+kk - 4 bedrooms for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=5-plus-kk-4-bedrooms
Expats,5+1 - 4 bedrooms for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=5-plus-1-4-bedrooms
Expats,5 bedrooms + for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=5-bedrooms-and-more
Expats,Atypical layout for rent,https://www.expats.cz/praguerealestate/apartments/for-rent?re_advert_subtype=atypical-advert-subtype
Bazos,"Luxusní byt 4+1 189 m2 Flora Praha 3 prodáme-TOP- [3.5. 2025]SVJ prodá přímému zájemci exkluzivní byt 4,5+1, 1 kategorie, 2.patro ČD, osobní vlastnictví, etážové topení, nová dvojtá špaletová okna, rekonstrukce nové koupelny dle požadavku nového majitele, na stanici metra Flora, pouze přímému zájemci. Rohový , ...",https://reality.bazos.cz/inzerat/201421388/luxusni-byt-41-189-m2-flora-praha-3-prodame.php
Bazos,"Praha - Byt 2+kk s balkonem, garážovým stáním a sklepem-TOP- [3.5. 2025]Přímý majitel bytu osobně nabízí bez RK (realitní kanceláře) k prodeji světlý, kompletně zařízený byt v osobním vlastnictví 2+kk s balkonem, garážovým stáním a sklepem, u metra trasy B – Rajská zahrada. Celková plocha je 66 m², užitková plocha 45 m². ...",https://reality.bazos.cz/inzerat/201772637/praha-byt-2kk-s-balkonem-garazovym-stanim-a-sklepem.php
Bazos,"Byt 3+1 (112m2) s terasou (257 m2), Praha, Stodůlky-TOP- [3.5. 2025]Ev.č. 002AP2512
Dovoluji si Vám nabídnout prodej výjimečného bytu, dispozičně řešený jako 3+1 o velikosti 112 m2 s halou a dominantní terasou o výměře 257 m2, která se nachází kolem celého bytu. Adresa bytu je: Volutová 10,praha5 - Stodůlky.
Byt j ...",https://reality.bazos.cz/inzerat/201057996/byt-31-112m2-s-terasou-257-m2-praha-stodulky.php
Bazos,"Prodej bytu 2+kk 62 m² Na Žertvách, Praha - Libeň-TOP- [3.5. 2025]Nabízím k prodeji moderní, velmi světlý a prostorný byt 2+kk, po citlivé rekonstrukci, v cihlové budově, pouze 2 min od stanice metra Palmovka. Byt se nachází v 5. NP s výtahem a je v osobním vlastnictví. 
Byt je v dispozici 2+kk, ale díky 2 vstupům ...",https://reality.bazos.cz/inzerat/201415497/prodej-bytu-2kk-62-m-na-zertvach-praha-liben.php
Bazos,"Prodej moderního bytu 3+KK s balkónem u rybníka Hamr – Praha-TOP- [3.5. 2025]Majitel nabízí k prodeji světlý a prostorný byt 3+KK s balkónem (2,5 m²) o celkové ploše 68,9 m² v atraktivní lokalitě Prahy 10 – Záběhlice, přímo u malebného rybníka Hamr a vyhledávaného sportovního a relaxačního areálu HAMR.

Byt se nachází ve 4. ...",https://reality.bazos.cz/inzerat/201534322/prodej-moderniho-bytu-3kk-s-balkonem-u-rybnika-hamr-praha.php
Bazos,"Prodej bytu 3+1 86m, Anny Drabíkové, Praha - Háje-TOP- [3.5. 2025]Prodej světlého bytu v osobním vlastnictví, 3+1/B o celkové ploše 86 m2, v 7. patře plně revitalizované panelové budovy s výtahem. 
Byt se nachází v klidné části Prahy 4, v oblasti Háje.

Dispozice bytu: obývací pokoj s balkonem (23 m² + 5,5 m²), kuc ...",https://reality.bazos.cz/inzerat/201576286/prodej-bytu-31-86m-anny-drabikove-praha-haje.php
Bazos,"Prodej, byty/3+kk, 91 m2, Topolová 910, 28924 Milovice, Nymb-TOP- [3.5. 2025]Prodej, byty/3+kk, 91 m2, Topolová 910, 28924 Milovice, Nymburk [ID 69032]

Exkluzivně vám nabízíme k prodeji bytovou jednotku v osobním vlastnictví o velikosti 3+kk s výměrou 91,5 m2 ve velmi klidné a bezpečné lokalitě v obci Milovice na ulici Topol ...",https://reality.bazos.cz/inzerat/201769496/prodej-byty3kk-91-m2-topolova-910-28924-milovice-nymb.php
Bazos,"Prodej, byty/4+kk, 115 m2, Škrábkových 896/1, Letňany, 19900-TOP- [3.5. 2025]Prodej, byty/4+kk, 115 m2, Škrábkových 896/1, Letňany, 19900praha, Hlavní městopraha[ID 68649]

Exkluzivně nabízíme k prodeji prostorné a moderní bydlení v klidné ulici Škrábkových v pražských Letnaněch. Jedná se o bytovou jednotku o rozměrech 97m ...",https://reality.bazos.cz/inzerat/200634960/prodej-byty4kk-115-m2-skrabkovych-8961-letnany-19900.php
Bazos,"Prodej, byty/1+kk, 27 m2, Novákových 1817/30, 18000 Praha, H-TOP- [3.5. 2025]Prodej, byty/1+kk, 27 m2, Novákových 1817/30, 18000praha, Hlavní městopraha[ID 71365]

Nabízíme k prodeji plně vybavený byt 1+kk o velikosti 27 m², který se nachází v atraktivním bytovém komplexu Lofty Palmovka v Praze. Byt je situován v přízemí s ...",https://reality.bazos.cz/inzerat/201126132/prodej-byty1kk-27-m2-novakovych-181730-18000-praha-h.php
Bazos,"Prodej bytu 3+1, 82m2, Stodůlky-TOP- [3.5. 2025]Prodej bytu 3+1 s lodžií, sklepem a komorou – Hábova 10,praha5 – Stodůlky

Prodej prostorného a světlého bytu 3+1 o celkové ploše 72,3 m², který se nachází ve 3. patře panelového domu (se třemi byty na patře) s výtahem v ulici Hábova 10,praha5 –  ...",https://reality.bazos.cz/inzerat/201489441/pronajem-zarizeneho-bytu-31-82m2-stodulky.php
Bazos,"Převod dr. podílu, byty/4+kk, 126.4 m2, S. K. Neumanna 1893/-TOP- [3.5. 2025]Převod dr. podílu, byty/4+kk, 126.4 m2, S. K. Neumanna 1893/11, Libeň, 18200praha8 [ID 66609]

Prostorný byt 4+KK s garáží, dílnou a krásnou přírodou na dosah –praha, Libeň, ul. S. K. Neumanna 1893/11.

Hledáte komfortní a prostorné bydlení pro va ...",https://reality.bazos.cz/inzerat/200266580/prevod-dr-podilu-byty4kk-1264-m2-s-k-neumanna-1893.php
Bazos,"Praha 9, Prosek,, Chotěšovská- [3.5. 2025]Byt 1+kk,48m2,OV,po kompletní rekonstrukci,2.patro že tří,nově zařízený,výhled do parku,M Střížkov 5minut chůze,nízká režie.",https://reality.bazos.cz/inzerat/201911050/praha-9-prosek-chotesovska.php
Bazos,"Prodej, byty/3+kk, 71 m2, Nekvasilova 587/11, 18600 Praha, H- [3.5. 2025]Prodej, byty/3+kk, 71 m2, Nekvasilova 587/11, 18600praha, Hlavní městopraha[ID 71718]

Karlín prošel celkovou revitalizací a aktuálně se řadí k předním částem Prahy. Díky jeho strategické poloze není divu, že je o nemovitosti zde velký zájem. A pr ...",https://reality.bazos.cz/inzerat/201909291/prodej-byty3kk-71-m2-nekvasilova-58711-18600-praha-h.php
Bazos,"Prodej, byt 3+1, 90m2, Praha 8, Kobylisy, Pakoměřická- [3.5. 2025]Exkluzivně: prostorný byt 3+1 (90 m2) s vlastní zahradou 62 m2 v atraktivní lokalitěpraha8 – Kobylisy.
Hledáte bydlení, které spojuje komfort prostorného bytu, možnost relaxace, zároveň s výbornou dostupností do centra Prahy? Pak pro vás máme jedi ...",https://reality.bazos.cz/inzerat/201907727/prodej-byt-31-90m2-praha-8-kobylisy-pakomericka.php
Bazos,"Exkluzivní mezonet Praha Barrandov- [3.5. 2025]Exkluzivní mezonetový byt k prodeji (Devonská,prahaBarrandov)

Nabízím k prodeji exkluzivní mezonetový byt 2+kk o rozloze 88m2, s prostornou terasou 30m2, orientovanou na SV v 7.NP, v projektu Byty Devonská a to včetně parkovacího stání výhodně umí ...",https://reality.bazos.cz/inzerat/201899437/exkluzivni-mezonet-praha-barrandov.php
Bazos,"Prodej bytu 2+kk- [3.5. 2025]Nabízíme postoupení nového družstevního bytu 2+kk v projektu Nad Krocínkou III (dům A2) spolehlivého developera FINEP v ulici Prosecká,praha9.
Skvělé umístění jen pár minut chůze od metra C Prosek.

Bytová jednotka 2+kk o velikosti 41,6 m2 + bal ...",https://reality.bazos.cz/inzerat/201896712/prodej-bytu-2kk.php
Bazos,"Prodej mezonetového bytu 3+kk, 56 m², Praha, ul. V závětří- [3.5. 2025]Nabízíme k prodeji mezonetový byt v žádané lokalitě Holešovice. Tento jedinečný byt se nachází v 7. nadzemním podlaží cihlového domu s celkovým počtem podlaží 7. Byt prošel kompletní rekonstrukcí a nabízí moderní a komfortní bydlení na užitné ploše 5 ...",https://reality.bazos.cz/inzerat/201895448/prodej-mezonetoveho-bytu-3kk-56-m-praha-ul-v-zavetri.php
Bazos,"Prodej byt 2+kk, 45㎡- [3.5. 2025]Nabízíme k prodeji útulný byt 2+kk v cihlovém domě od renomovaného developera Skanska, situovaný v atraktivní lokalitěpraha- Hostavice. Tento moderní byt o užitné ploše 45 m² se nachází ve 1. nadzemním podlaží s výtahem a nabízí pohodlné bydlení. K ...",https://reality.bazos.cz/inzerat/201895081/prodej-byt-2kk-45.php
Bazos,"Prodej bytu 3+kk (96 m2) s terasou (11 m2), Praha 5 - Hluboč- [3.5. 2025]Nabízíme na prodej jedinečný byt 3+kk v posledním patře v projektu Kaskády Barrandov III. Byt nabízí užitnou plochu celkem 96 m2, s terasou 11 m2 orientovanou do klidného vnitrobloku. Celý byt je díky velkým oknům velmi světlý a vzdušný.

Srdcem ce ...",https://reality.bazos.cz/inzerat/201893208/prodej-bytu-3kk-96-m2-s-terasou-11-m2-praha-5-hluboc.php
Bazos,"Prodej, byt 2+kk, 47m2, Praha 10, Záběhlice, Ve Slatinách- [2.5. 2025]Exkluzivní nabídka moderního 2+kk o výměře 47,3 m2, který se nachází v prvním podlaží bytového domu z roku 2005, v atraktivní rezidenční lokalitě pražských Záběhlic.

Jednotka je kolaudována jako nebytový prostor, majitelé však řeší rekolaudaci na  ...",https://reality.bazos.cz/inzerat/201887943/prodej-byt-2kk-47m2-praha-10-zabehlice-ve-slatinach.php
